student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA,will_graduate
25-8594,Human Resource Management (BSBA‑HRM),2004-03-13,Filipino,Married,Male,Pasig,Paid,0,False,21,advising,3.0,No
25-5846,Business Solutions & Applications (BSBA‑BSAA),2004-06-09,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.5,Yes
25-1282,Human Resource Management (BSBA‑HRM),2005-08-21,Filipino,Single,Male,Rodriguez,Paid,0,False,21,,3.5,Yes
25-5227,Cybersecurity (BSCSEC),2007-03-08,Filipino,Single,Male,San Juan,Paid,0,False,24,,4.0,Yes
25-4734,Business Intelligence & Analytics (BSBA‑BIA),2004-05-01,Filipino,Single,Female,San Mateo,Paid,0,False,21,restrictions,3.5,No
25-9372,Business Intelligence & Analytics (BSBA‑BIA),2005-11-14,Filipino,Single,Female,Pasig,Paid,0,True,21,,3.5,Yes
25-7139,Human Resource Management (BSBA‑HRM),2000-03-12,Filipino,Single,Male,Taguig,With Balance,26737,False,21,,3.5,Yes
25-3458,Human Resource Management (BSBA‑HRM),2001-02-08,Filipino,Married,Female,San Mateo,With Balance,27293,False,15,,3.0,Yes
25-9525,Human Resource Management (BSBA‑HRM),2004-04-11,Filipino,Single,Female,San Juan,With Balance,13781,False,18,,1.0,No
25-7716,Human Resource Management (BSBA‑HRM),2001-06-21,Filipino,Single,Female,San Juan,With Balance,14105,False,18,,3.5,Yes
25-3263,Information Systems (BS‑IS),2005-06-04,Filipino,Single,Male,Rodriguez,With Balance,16491,False,18,,4.0,Yes
25-2979,Human Resource Management (BSBA‑HRM),2007-12-04,Filipino,Single,Female,Manila,With Balance,14337,False,24,,3.5,Yes
25-7591,Information Systems (BS‑IS),2004-02-11,Filipino,Single,Male,Quezon City,Paid,0,True,21,,2.0,Yes
25-8368,Cybersecurity (BSCSEC),2007-12-05,Filipino,Single,Male,Pasig,Paid,0,False,21,,3.5,Yes
25-6250,Human Resource Management (BSBA‑HRM),2004-02-08,Filipino,Single,Female,Las Piñas,Paid,0,False,18,,4.0,Yes
25-4451,Human Resource Management (BSBA‑HRM),2005-02-12,Filipino,Single,Female,Malabon,With Balance,19452,False,21,,3.0,Yes
25-4795,Information Systems (BS‑IS),2003-09-27,Filipino,Single,Male,San Mateo,Paid,0,False,24,,4.0,Yes
25-4328,Business Solutions & Applications (BSBA‑BSAA),2006-12-15,Filipino,Single,Female,Taguig,With Balance,13930,False,24,,3.5,Yes
25-2423,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-06-26,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,3.0,Yes
25-6157,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-12-26,Filipino,Single,Male,Bacoor,Paid,0,False,24,,4.0,Yes
25-4205,Business Solutions & Applications (BSBA‑BSAA),2002-12-16,Filipino,Single,Male,Antipolo,With Balance,10104,False,24,restrictions,3.0,No
25-3918,Business Intelligence & Analytics (BSBA‑BIA),2006-11-19,Filipino,Single,Male,Las Piñas,With Balance,31888,False,24,,3.0,Yes
25-6851,Human Resource Management (BSBA‑HRM),2003-02-25,Filipino,Single,Female,Muntinlupa,Paid,0,False,18,,3.5,Yes
25-2860,Business Solutions & Applications (BSBA‑BSAA),2002-08-27,Filipino,Single,Female,Imus,Paid,0,False,18,,3.0,Yes
25-1996,Human Resource Management (BSBA‑HRM),2005-07-13,Filipino,Single,Female,Quezon City,With Balance,21135,False,15,,3.5,Yes
25-3728,Human Resource Management (BSBA‑HRM),2001-10-20,Filipino,Single,Male,Manila,Paid,0,False,21,,3.0,Yes
25-2039,Information Systems (BS‑IS),2005-09-07,Vietnamese,Single,Female,San Juan,Paid,0,False,21,,4.0,Yes
25-5074,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-09-04,Filipino,Single,Male,Mandaluyong,Paid,0,False,18,restrictions,4.0,No
25-7190,Information Systems (BS‑IS),2004-02-03,Filipino,Single,Female,Manila,Paid,0,True,18,restrictions,3.0,No
25-4183,Cybersecurity (BSCSEC),2005-07-17,Filipino,Single,Female,Caloocan,Paid,0,True,24,,3.5,Yes
24-4641,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-05-23,Filipino,Single,Male,Malabon,With Balance,34992,False,15,,3.0,Yes
24-1407,Human Resource Management (BSBA‑HRM),2005-08-19,Filipino,Single,Male,Bacoor,Paid,0,False,18,,2.0,No
24-5095,Business Intelligence & Analytics (BSBA‑BIA),2007-09-24,Filipino,Single,Male,Malabon,Paid,0,False,21,,4.0,Yes
24-7660,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-09-26,Filipino,Single,Male,Muntinlupa,Paid,0,False,15,,3.5,Yes
24-2269,Human Resource Management (BSBA‑HRM),2002-09-24,Filipino,Single,Male,Quezon City,Paid,0,False,24,restrictions,3.5,No
24-1151,Business Solutions & Applications (BSBA‑BSAA),2004-12-22,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,1.0,No
24-7082,Human Resource Management (BSBA‑HRM),2007-04-11,Filipino,Single,Male,Mandaluyong,With Balance,10321,False,21,,4.0,Yes
24-2098,Interactive Entertainment & Multimedia Computing (BS‑IEMC),1995-04-07,Filipino,Single,Female,Taguig,Paid,0,True,24,,4.0,Yes
24-4703,Business Solutions & Applications (BSBA‑BSAA),2003-05-10,Filipino,Single,Female,Parañaque,Paid,0,False,21,,3.0,Yes
24-4319,Business Intelligence & Analytics (BSBA‑BIA),2003-05-06,Filipino,Single,Female,Muntinlupa,With Balance,29817,False,21,,3.0,Yes
24-8756,Business Solutions & Applications (BSBA‑BSAA),1991-04-03,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,4.0,Yes
24-9383,Cybersecurity (BSCSEC),2007-06-10,Filipino,Single,Female,Pasay,With Balance,21632,False,21,,3.5,Yes
24-2281,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-27,Filipino,Single,Female,San Mateo,Paid,0,False,21,,3.0,Yes
24-8133,Information Systems (BS‑IS),2005-08-25,Filipino,Single,Male,Cainta,With Balance,16258,False,24,,2.0,No
24-1174,Business Intelligence & Analytics (BSBA‑BIA),2003-01-19,Filipino,Single,Female,Marikina,Paid,0,False,21,monitoring,3.0,No
24-7525,Business Intelligence & Analytics (BSBA‑BIA),2004-05-21,Filipino,Single,Male,Malabon,Paid,0,False,24,,3.0,Yes
24-9938,Cybersecurity (BSCSEC),2000-10-23,Filipino,Single,Male,Makati,With Balance,11836,False,24,,4.0,Yes
24-2597,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-11-20,Filipino,Single,Female,Mandaluyong,Paid,0,False,21,,2.0,No
24-7605,Human Resource Management (BSBA‑HRM),2000-02-07,Filipino,Single,Female,Makati,Paid,0,False,18,,3.5,Yes
24-1052,Business Solutions & Applications (BSBA‑BSAA),2001-06-15,Filipino,Single,Female,Makati,Paid,0,False,15,,3.0,Yes
24-1329,Cybersecurity (BSCSEC),2003-11-12,Filipino,Single,Male,Las Piñas,Paid,0,False,18,,3.0,Yes
24-6087,Business Intelligence & Analytics (BSBA‑BIA),2002-05-05,Filipino,Single,Male,Marikina,Paid,0,False,21,,3.5,Yes
24-2514,Human Resource Management (BSBA‑HRM),2005-11-17,Filipino,Single,Male,Quezon City,Paid,0,False,18,,4.0,Yes
24-8108,Business Solutions & Applications (BSBA‑BSAA),2004-04-11,Filipino,Single,Female,Makati,Paid,0,False,18,,4.0,Yes
24-2889,Human Resource Management (BSBA‑HRM),2007-03-15,Filipino,Single,Female,Imus,Paid,0,False,15,,2.0,No
24-1129,Business Intelligence & Analytics (BSBA‑BIA),2005-11-04,Filipino,Single,Male,Navotas,With Balance,24385,False,24,,3.0,Yes
24-7542,Human Resource Management (BSBA‑HRM),2005-10-11,Filipino,Single,Male,San Juan,With Balance,26612,False,15,,3.0,Yes
24-7565,Human Resource Management (BSBA‑HRM),2002-05-20,Korean,Single,Male,Rodriguez,Paid,0,False,21,,4.0,Yes
24-2481,Business Solutions & Applications (BSBA‑BSAA),2005-08-13,Filipino,Single,Male,Caloocan,Paid,0,False,15,,2.0,No
24-8152,Business Intelligence & Analytics (BSBA‑BIA),2005-01-16,Filipino,Single,Female,Caloocan,Paid,0,False,24,,3.0,Yes
24-2569,Human Resource Management (BSBA‑HRM),2002-07-25,Filipino,Single,Female,Cainta,Paid,0,False,24,,1.0,No
24-1440,Business Solutions & Applications (BSBA‑BSAA),2003-06-12,Filipino,Single,Female,Makati,Paid,0,False,18,monitoring,3.5,No
24-6563,Human Resource Management (BSBA‑HRM),2002-05-10,Filipino,Single,Male,Marikina,Paid,0,False,18,,3.0,Yes
24-2743,Human Resource Management (BSBA‑HRM),2001-11-28,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,restrictions,1.0,No
24-7581,Human Resource Management (BSBA‑HRM),2006-05-24,Filipino,Single,Female,Antipolo,Paid,0,False,21,,1.0,No
24-2829,Cybersecurity (BSCSEC),2006-11-03,Filipino,Single,Female,Caloocan,Paid,0,False,24,,3.5,Yes
24-1652,Business Intelligence & Analytics (BSBA‑BIA),2005-01-20,Filipino,Single,Female,Imus,With Balance,27784,False,21,,3.5,Yes
24-1287,Human Resource Management (BSBA‑HRM),2000-10-04,Filipino,Single,Female,San Juan,Paid,0,False,18,,3.0,Yes
24-8063,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-12-20,Filipino,Single,Female,Quezon City,Paid,0,True,21,restrictions,1.0,No
24-2656,Human Resource Management (BSBA‑HRM),2001-06-21,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,3.5,Yes
24-2907,Cybersecurity (BSCSEC),2004-10-17,Filipino,Single,Male,Parañaque,Paid,0,False,24,,3.0,Yes
24-4042,Business Solutions & Applications (BSBA‑BSAA),2006-03-22,Filipino,Single,Male,Manila,Paid,0,False,21,,3.0,Yes
24-6212,Business Intelligence & Analytics (BSBA‑BIA),2005-04-03,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,3.0,Yes
24-6618,Business Solutions & Applications (BSBA‑BSAA),2007-03-15,Filipino,Single,Male,Imus,Paid,0,False,15,,3.0,Yes
24-6657,Business Intelligence & Analytics (BSBA‑BIA),2005-05-10,Filipino,Single,Female,Manila,Paid,0,False,21,,3.5,Yes
24-1383,Cybersecurity (BSCSEC),2007-04-13,Filipino,Single,Male,Taguig,Paid,0,False,15,,4.0,Yes
24-3606,Cybersecurity (BSCSEC),2006-09-14,Filipino,Single,Female,Muntinlupa,Paid,0,False,21,,3.0,Yes
24-4688,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-05-27,Filipino,Single,Male,Pasay,Paid,0,False,21,,3.0,Yes
24-2610,Human Resource Management (BSBA‑HRM),2006-07-07,Filipino,Single,Male,Cainta,With Balance,29646,False,24,,3.5,Yes
24-3727,Human Resource Management (BSBA‑HRM),2001-06-01,Filipino,Single,Female,San Mateo,Paid,0,False,18,,3.0,Yes
24-4920,Business Intelligence & Analytics (BSBA‑BIA),2003-06-05,Filipino,Single,Male,Rodriguez,Paid,0,False,24,,3.0,Yes
24-8559,Human Resource Management (BSBA‑HRM),2005-03-08,Filipino,Single,Male,Quezon City,Paid,0,False,24,,4.0,Yes
24-7833,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-12-25,Filipino,Married,Male,Navotas,With Balance,19599,False,24,,3.0,Yes
24-1653,Human Resource Management (BSBA‑HRM),2007-07-26,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,3.0,Yes
24-3325,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-05-04,Filipino,Single,Female,Malabon,With Balance,21221,False,21,,3.5,Yes
24-8378,Information Systems (BS‑IS),2000-03-05,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,3.5,Yes
24-8206,Information Systems (BS‑IS),2002-03-20,Filipino,Single,Male,Manila,Paid,0,False,18,,3.5,Yes
24-9332,Cybersecurity (BSCSEC),2006-08-20,Filipino,Married,Male,Rodriguez,Paid,0,False,21,,2.0,No
24-3770,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-07-01,Filipino,Single,Male,Las Piñas,Paid,0,False,15,,3.5,Yes
24-8525,Human Resource Management (BSBA‑HRM),2000-12-28,Filipino,Single,Male,Caloocan,Paid,0,False,15,,3.0,Yes
24-5447,Human Resource Management (BSBA‑HRM),2001-01-15,Filipino,Single,Female,Mandaluyong,Paid,0,False,18,,3.0,Yes
24-3907,Business Intelligence & Analytics (BSBA‑BIA),2004-02-24,Filipino,Single,Male,Pasig,Paid,0,False,18,,3.0,Yes
24-8819,Human Resource Management (BSBA‑HRM),2000-06-26,Filipino,Single,Male,Navotas,Paid,0,True,18,restrictions,4.0,No
24-8982,Business Solutions & Applications (BSBA‑BSAA),1993-02-24,Filipino,Single,Male,Rodriguez,Paid,0,False,24,,3.5,Yes
24-7671,Information Systems (BS‑IS),2002-06-17,Filipino,Single,Female,Marikina,Paid,0,False,21,,3.0,Yes
24-8209,Business Intelligence & Analytics (BSBA‑BIA),2002-08-01,Filipino,Married,Female,Malabon,Paid,0,False,24,,4.0,Yes
24-8261,Business Solutions & Applications (BSBA‑BSAA),2002-04-25,Filipino,Single,Female,Antipolo,With Balance,25462,False,15,,2.0,No
24-4445,Human Resource Management (BSBA‑HRM),2002-04-25,Filipino,Single,Male,Cainta,Paid,0,False,24,,3.0,Yes
24-5413,Business Solutions & Applications (BSBA‑BSAA),2004-06-05,Filipino,Single,Female,Navotas,Paid,0,False,24,monitoring,4.0,No
24-7697,Human Resource Management (BSBA‑HRM),2007-05-01,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.5,Yes
24-4267,Cybersecurity (BSCSEC),2007-05-04,Filipino,Single,Female,Rodriguez,With Balance,11507,False,24,,2.0,No
24-8979,Business Solutions & Applications (BSBA‑BSAA),2006-01-04,Filipino,Single,Female,Navotas,Paid,0,False,18,,4.0,Yes
24-7779,Cybersecurity (BSCSEC),2004-10-07,Filipino,Single,Female,Rodriguez,Paid,0,False,21,,4.0,Yes
24-2114,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-06-25,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,1.0,No
24-5243,Business Solutions & Applications (BSBA‑BSAA),2000-03-04,Filipino,Single,Female,Quezon City,Paid,0,False,21,monitoring,1.0,No
24-9261,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-05-19,Filipino,Single,Male,Rodriguez,Paid,0,True,15,,3.0,Yes
24-2437,Human Resource Management (BSBA‑HRM),2003-02-25,Filipino,Single,Female,Navotas,With Balance,14987,False,21,restrictions,3.0,No
24-8439,Human Resource Management (BSBA‑HRM),2006-01-13,Filipino,Single,Female,Manila,Paid,0,True,21,,3.5,Yes
24-4651,Human Resource Management (BSBA‑HRM),2007-11-22,Filipino,Single,Female,Rodriguez,With Balance,16754,False,21,,4.0,Yes
24-1646,Cybersecurity (BSCSEC),2001-06-28,Filipino,Single,Male,Caloocan,Paid,0,False,21,,2.0,No
24-6821,Business Intelligence & Analytics (BSBA‑BIA),2007-02-27,Filipino,Single,Male,Pasay,Paid,0,True,24,,4.0,Yes
24-7234,Human Resource Management (BSBA‑HRM),2002-09-19,Filipino,Single,Male,Taguig,With Balance,21743,False,21,,4.0,Yes
24-2487,Cybersecurity (BSCSEC),2004-09-04,Filipino,Single,Female,Valenzuela,With Balance,21622,False,21,,2.0,No
24-8113,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-12-03,Filipino,Single,Female,Manila,Paid,0,False,21,advising,4.0,No
24-3096,Human Resource Management (BSBA‑HRM),2007-01-02,Filipino,Single,Female,Parañaque,With Balance,23737,False,18,,3.0,Yes
24-3480,Cybersecurity (BSCSEC),2002-06-04,Filipino,Single,Male,Las Piñas,Paid,0,False,21,,4.0,Yes
24-1423,Business Solutions & Applications (BSBA‑BSAA),2000-12-28,Filipino,Single,Female,Cainta,Paid,0,False,15,advising,4.0,No
24-2086,Business Intelligence & Analytics (BSBA‑BIA),2006-09-15,Filipino,Single,Male,Las Piñas,With Balance,18416,False,18,,3.0,Yes
24-2579,Human Resource Management (BSBA‑HRM),2003-03-08,Filipino,Single,Male,San Juan,With Balance,33503,False,24,,3.0,Yes
24-5092,Business Solutions & Applications (BSBA‑BSAA),2004-06-23,Japanese,Single,Female,Pasig,Paid,0,False,18,,2.0,No
24-1560,Cybersecurity (BSCSEC),2000-04-06,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,3.5,Yes
24-7646,Human Resource Management (BSBA‑HRM),2004-09-15,Filipino,Single,Female,Muntinlupa,Paid,0,False,21,,3.5,Yes
24-9993,Human Resource Management (BSBA‑HRM),2005-09-09,Filipino,Single,Male,San Mateo,Paid,0,False,24,,4.0,Yes
24-5844,Business Intelligence & Analytics (BSBA‑BIA),2007-07-18,Vietnamese,Single,Male,Pasay,With Balance,26741,False,18,restrictions,4.0,No
24-1273,Business Intelligence & Analytics (BSBA‑BIA),2002-10-28,Filipino,Single,Female,San Mateo,With Balance,27395,False,18,,4.0,Yes
24-3713,Information Systems (BS‑IS),2003-12-05,Filipino,Single,Female,Caloocan,With Balance,23135,False,21,,3.0,Yes
24-7901,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-12-10,Filipino,Single,Female,Caloocan,Paid,0,False,15,monitoring,4.0,No
24-8879,Cybersecurity (BSCSEC),2003-07-26,Filipino,Single,Male,San Juan,Paid,0,False,21,monitoring,4.0,No
24-3487,Business Solutions & Applications (BSBA‑BSAA),2004-06-01,Filipino,Single,Male,Bacoor,Paid,0,False,24,,4.0,Yes
24-8444,Business Intelligence & Analytics (BSBA‑BIA),2005-05-02,Filipino,Single,Male,Bacoor,Paid,0,False,24,,4.0,Yes
24-2688,Business Intelligence & Analytics (BSBA‑BIA),2005-04-28,Filipino,Single,Female,Valenzuela,Paid,0,True,15,,3.5,Yes
24-5519,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-07-22,Filipino,Married,Male,Manila,With Balance,17954,False,24,,3.5,Yes
24-5354,Business Intelligence & Analytics (BSBA‑BIA),2007-09-20,Filipino,Single,Female,Quezon City,Paid,0,False,15,,4.0,Yes
24-4909,Human Resource Management (BSBA‑HRM),2006-07-23,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.0,Yes
24-8074,Information Systems (BS‑IS),2002-01-21,Filipino,Single,Female,Manila,With Balance,18307,False,21,,3.5,Yes
24-5074,Business Solutions & Applications (BSBA‑BSAA),2005-08-23,American,Single,Male,Caloocan,With Balance,31243,False,21,,3.0,Yes
24-3818,Cybersecurity (BSCSEC),2005-06-20,Filipino,Single,Male,Muntinlupa,Paid,0,False,15,,3.5,Yes
24-9146,Information Systems (BS‑IS),2003-05-28,Filipino,Single,Female,Parañaque,With Balance,20576,False,15,restrictions,3.5,No
24-9292,Cybersecurity (BSCSEC),2002-07-20,Filipino,Single,Male,Cainta,Paid,0,False,21,monitoring,3.0,No
24-7500,Business Intelligence & Analytics (BSBA‑BIA),2004-10-19,Japanese,Single,Male,Navotas,Paid,0,False,18,,3.5,Yes
24-9101,Business Solutions & Applications (BSBA‑BSAA),2003-04-08,Filipino,Single,Male,Manila,With Balance,38099,False,24,,3.5,Yes
24-4149,Human Resource Management (BSBA‑HRM),2006-11-19,Filipino,Married,Female,Parañaque,Paid,0,False,21,,2.0,No
24-4845,Business Solutions & Applications (BSBA‑BSAA),2002-06-28,Filipino,Single,Male,Taguig,With Balance,26628,False,24,,4.0,Yes
24-4732,Cybersecurity (BSCSEC),2003-08-09,Filipino,Single,Female,Malabon,Paid,0,False,18,monitoring,3.0,No
24-1942,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-02-22,Filipino,Single,Female,Rodriguez,With Balance,10903,False,24,,3.0,Yes
24-3184,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-05-18,Filipino,Single,Male,Rodriguez,Paid,0,False,24,restrictions,1.0,No
24-6152,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-12-25,Filipino,Single,Male,Cainta,Paid,0,True,24,,3.0,Yes
24-5076,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-03-01,Filipino,Single,Male,Muntinlupa,Paid,0,True,24,,2.0,Yes
24-7347,Cybersecurity (BSCSEC),2007-03-28,Filipino,Single,Female,Mandaluyong,With Balance,26373,False,15,,3.5,Yes
24-4713,Human Resource Management (BSBA‑HRM),2001-06-15,Filipino,Single,Male,Cainta,Paid,0,True,15,,4.0,Yes
24-1028,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-06-13,Filipino,Single,Female,Makati,Paid,0,False,24,,4.0,Yes
24-6656,Business Intelligence & Analytics (BSBA‑BIA),2002-10-12,Filipino,Single,Male,Antipolo,With Balance,10994,False,15,,2.0,No
24-2970,Cybersecurity (BSCSEC),2004-02-12,Filipino,Single,Male,Taguig,Paid,0,False,21,,2.0,No
24-9978,Cybersecurity (BSCSEC),2001-11-18,Filipino,Single,Male,San Juan,Paid,0,False,24,advising,2.0,No
24-8871,Cybersecurity (BSCSEC),2001-09-03,Filipino,Single,Female,San Mateo,Paid,0,False,18,,4.0,Yes
24-7984,Human Resource Management (BSBA‑HRM),2007-01-16,Filipino,Single,Female,Las Piñas,With Balance,19410,False,15,,4.0,Yes
24-2461,Business Solutions & Applications (BSBA‑BSAA),2002-11-11,Filipino,Single,Male,Las Piñas,Paid,0,False,15,,3.0,Yes
24-8107,Cybersecurity (BSCSEC),2002-09-12,Filipino,Single,Male,Taguig,Paid,0,False,18,,4.0,Yes
24-4335,Human Resource Management (BSBA‑HRM),2000-01-13,Filipino,Single,Female,Manila,Paid,0,False,21,,1.0,No
24-4741,Human Resource Management (BSBA‑HRM),2000-03-05,Filipino,Single,Female,Valenzuela,With Balance,39559,False,21,,2.0,No
24-5466,Human Resource Management (BSBA‑HRM),2006-07-09,Filipino,Single,Female,Marikina,Paid,0,False,24,monitoring,4.0,No
24-4653,Business Intelligence & Analytics (BSBA‑BIA),2002-08-03,Filipino,Single,Female,Imus,Paid,0,False,21,,3.5,Yes
24-5284,Business Intelligence & Analytics (BSBA‑BIA),2003-02-18,Filipino,Single,Male,Malabon,Paid,0,False,15,,4.0,Yes
24-2104,Business Solutions & Applications (BSBA‑BSAA),2007-12-05,Filipino,Single,Male,Caloocan,Paid,0,False,15,,3.5,Yes
24-5109,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-11-02,Filipino,Single,Female,Antipolo,Paid,0,True,18,,3.5,Yes
24-8190,Business Intelligence & Analytics (BSBA‑BIA),2003-10-17,Filipino,Single,Female,Quezon City,Paid,0,False,15,,4.0,Yes
24-6270,Human Resource Management (BSBA‑HRM),2001-11-08,Filipino,Single,Male,Pasay,Paid,0,False,18,,4.0,Yes
24-2211,Business Intelligence & Analytics (BSBA‑BIA),2007-10-21,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.5,Yes
24-8454,Human Resource Management (BSBA‑HRM),2007-09-12,Filipino,Single,Male,Pasay,With Balance,22061,False,15,,3.5,Yes
24-1697,Human Resource Management (BSBA‑HRM),2003-07-05,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,3.5,Yes
24-6956,Business Solutions & Applications (BSBA‑BSAA),2002-12-17,Filipino,Single,Male,Rodriguez,With Balance,31604,False,21,,3.0,Yes
24-7688,Human Resource Management (BSBA‑HRM),2006-03-16,Filipino,Single,Female,Cainta,Paid,0,False,21,,4.0,Yes
24-7296,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-01-23,Filipino,Single,Male,Marikina,Paid,0,False,18,,3.0,Yes
24-4240,Business Intelligence & Analytics (BSBA‑BIA),2003-12-05,Filipino,Single,Male,Imus,Paid,0,True,15,advising,2.0,No
24-1864,Business Solutions & Applications (BSBA‑BSAA),2005-04-24,Filipino,Single,Male,Parañaque,Paid,0,False,24,,3.0,Yes
24-5747,Business Solutions & Applications (BSBA‑BSAA),2002-03-06,Filipino,Single,Female,Mandaluyong,Paid,0,False,21,,2.0,No
24-2857,Information Systems (BS‑IS),2007-02-25,Filipino,Single,Female,Pasay,With Balance,29207,False,21,,3.0,Yes
24-3979,Human Resource Management (BSBA‑HRM),2007-11-19,Filipino,Single,Male,Parañaque,Paid,0,True,18,,3.0,Yes
24-3449,Business Intelligence & Analytics (BSBA‑BIA),2003-11-11,Filipino,Single,Male,Parañaque,With Balance,10522,False,24,,3.5,Yes
24-5140,Business Intelligence & Analytics (BSBA‑BIA),2000-08-11,Filipino,Single,Male,Las Piñas,With Balance,21059,False,15,,1.0,No
24-8505,Information Systems (BS‑IS),2000-03-28,Japanese,Single,Male,Las Piñas,With Balance,22452,False,24,restrictions,3.5,No
24-7146,Business Solutions & Applications (BSBA‑BSAA),2006-07-23,Filipino,Single,Female,San Mateo,Paid,0,False,15,,2.0,No
24-2389,Cybersecurity (BSCSEC),2001-01-26,Filipino,Single,Male,Makati,Paid,0,False,18,,2.0,No
24-1158,Cybersecurity (BSCSEC),2005-10-03,Filipino,Single,Female,Bacoor,With Balance,13467,False,15,advising,4.0,No
24-2329,Business Intelligence & Analytics (BSBA‑BIA),2001-01-14,Filipino,Single,Male,Makati,Paid,0,False,18,,4.0,Yes
24-9115,Information Systems (BS‑IS),2004-12-22,Filipino,Single,Female,Mandaluyong,Paid,0,False,18,,2.0,No
24-4102,Information Systems (BS‑IS),2001-04-06,Filipino,Single,Male,Mandaluyong,With Balance,19722,False,24,,3.5,Yes
24-7988,Business Solutions & Applications (BSBA‑BSAA),2003-09-01,Filipino,Single,Female,Las Piñas,Paid,0,False,15,,2.0,No
24-1989,Information Systems (BS‑IS),2001-11-25,Filipino,Single,Male,Muntinlupa,With Balance,21844,False,15,,3.0,Yes
24-6227,Human Resource Management (BSBA‑HRM),2007-06-16,Filipino,Single,Male,San Juan,Paid,0,False,21,,2.0,No
24-6314,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-08-28,Filipino,Single,Male,Pasay,Paid,0,False,18,,3.5,Yes
24-3447,Human Resource Management (BSBA‑HRM),2002-03-19,Filipino,Single,Male,Pasay,Paid,0,False,18,monitoring,4.0,No
24-5549,Business Solutions & Applications (BSBA‑BSAA),2007-07-14,Filipino,Single,Male,Parañaque,Paid,0,False,21,,3.0,Yes
24-3317,Business Solutions & Applications (BSBA‑BSAA),2003-07-16,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,3.0,Yes
24-9677,Business Solutions & Applications (BSBA‑BSAA),2002-06-19,Japanese,Single,Female,Parañaque,Paid,0,False,21,,2.0,No
24-6120,Information Systems (BS‑IS),2007-05-18,Filipino,Single,Male,Pasig,With Balance,28752,False,18,,3.0,Yes
24-5081,Human Resource Management (BSBA‑HRM),2000-06-17,Filipino,Single,Male,Cainta,Paid,0,False,24,,2.0,No
24-5358,Business Intelligence & Analytics (BSBA‑BIA),2003-05-23,Filipino,Single,Male,Malabon,Paid,0,False,21,,3.0,Yes
24-3394,Cybersecurity (BSCSEC),2007-06-20,Filipino,Single,Male,Cainta,Paid,0,False,15,,4.0,Yes
24-9259,Business Solutions & Applications (BSBA‑BSAA),2006-12-27,Filipino,Single,Male,Pasig,Paid,0,False,24,monitoring,3.0,No
24-3418,Human Resource Management (BSBA‑HRM),2002-10-15,Filipino,Single,Female,Navotas,With Balance,24854,False,21,,4.0,Yes
24-1277,Business Intelligence & Analytics (BSBA‑BIA),2007-06-05,Filipino,Single,Male,Bacoor,Paid,0,False,18,,2.0,No
24-1565,Information Systems (BS‑IS),2000-09-02,Filipino,Single,Female,Makati,Paid,0,False,15,,2.0,No
24-4850,Business Intelligence & Analytics (BSBA‑BIA),2005-06-03,Filipino,Single,Female,Pasay,Paid,0,False,24,,3.0,Yes
